timestamp,LX,LY,RX,RY,LT,RT,A,B,pose_x,pose_x_std,pose_y,pose_y_std,pose_theta,pose_theta_std
2025-09-26T17:55:13.322,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:13.377,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:13.491,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:13.586,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:13.700,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:13.782,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:13.860,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:13.936,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.012,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:14.089,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.167,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.244,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.322,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:14.399,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.478,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.554,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.632,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:14.710,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.787,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.864,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:14.942,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:15.019,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.097,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.175,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.252,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:15.329,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.408,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.486,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.569,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.647,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:15.724,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.804,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.887,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:15.971,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:16.049,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:16.130,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:16.209,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
2025-09-26T17:55:16.287,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,,,,,,
2025-09-26T17:55:16.365,0.0,-0.0,0.0,3.0517578125e-05,-1.0,-1.0,0,0,0.0,0.1,0.0,0.1,0.0,4.4
