time_ms,roll_raw,roll_filt,roll_cmd_dps,roll_err,pitch_raw,pitch_filt,pitch_cmd_dps,pitch_err,roll_mot_angle,roll_mot_speed,pitch_mot_angle,pitch_mot_speed
792.0,2.612,2.612,10.0,-2.612,-2.659,-2.659,0.0,0.0,0.0,0.0,0.0,0.0
835.0,2.612,2.612,10.0,-2.612,-2.659,-2.659,0.0,0.0,0.0,0.0,0.0,0.0
874.0,2.617,2.612,10.0,-2.612,-2.655,-2.655,0.0,0.0,0.0,0.0,0.0,0.0
915.0,2.621,2.613,10.0,-2.613,-2.661,-2.661,0.0,0.0,0.0,0.0,0.0,0.0
956.0,2.616,2.613,10.0,-2.613,-2.665,-2.665,0.0,0.0,0.0,0.0,0.0,0.0
995.0,2.616,2.614,10.0,-2.614,-2.665,-2.665,0.0,0.0,0.0,0.0,0.0,0.0
1033.0,2.616,2.614,10.0,-2.614,-2.665,-2.665,0.0,0.0,0.0,0.0,0.0,0.0
1074.0,2.614,2.614,10.0,-2.614,-2.675,-2.675,0.0,0.0,0.0,0.0,0.0,0.0
1114.0,2.618,2.614,10.0,-2.614,-2.68,-2.68,0.0,0.0,0.0,0.0,0.0,0.0
1154.0,2.622,2.615,10.0,-2.615,-2.686,-2.686,0.0,0.0,0.0,0.0,0.0,0.0
1194.0,2.626,2.616,10.0,-2.616,-2.692,-2.692,0.0,0.0,0.0,0.0,0.0,0.0
1234.0,2.63,2.617,10.0,-2.617,-2.698,-2.698,0.0,0.0,0.0,0.0,0.0,0.0
1274.0,2.633,2.619,10.0,-2.619,-2.704,-2.704,0.0,0.0,0.0,0.0,0.0,0.0
1314.0,2.637,2.621,10.0,-2.621,-2.709,-2.709,0.0,0.0,0.0,0.0,0.0,0.0
1355.0,2.637,2.622,10.0,-2.622,-2.709,-2.709,0.0,0.0,0.0,0.0,0.0,0.0
1394.0,2.637,2.624,10.0,-2.624,-2.709,-2.709,0.0,0.0,0.0,0.0,0.0,0.0
