time_ms,roll_raw,roll_filt,roll_cmd_dps,roll_err,pitch_raw,pitch_filt,pitch_cmd_dps,pitch_err,roll_mot_angle,roll_mot_speed,pitch_mot_angle,pitch_mot_speed
793.0,0.599,0.599,-0.0,-0.599,-3.359,-3.359,0.75,2.5,0.0,0.0,0.0,0.0
841.0,0.598,0.599,-0.0,-0.599,-3.359,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
890.0,0.598,0.599,-0.0,-0.599,-3.359,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
940.0,0.599,0.599,-0.0,-0.599,-3.359,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
990.0,0.598,0.599,-0.0,-0.599,-3.359,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
1039.0,0.608,0.599,0.011,-0.599,-3.361,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
1089.0,0.608,0.6,7.225,-0.6,-3.361,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
1139.0,0.618,0.602,7.265,-0.602,-3.362,-3.359,1.008,3.359,0.0,0.0,0.0,0.0
1189.0,0.628,0.605,7.322,-0.605,-3.364,-3.36,1.008,3.36,0.0,0.0,0.0,0.0
1239.0,0.631,0.607,7.38,-0.607,-3.37,-3.361,1.009,3.361,0.0,0.0,0.0,0.0
1288.0,0.635,0.61,7.439,-0.61,-3.376,-3.362,1.009,3.362,0.0,0.0,0.0,0.0
1338.0,0.641,0.613,7.502,-0.613,-3.372,-3.363,1.01,3.363,0.0,0.0,0.0,0.0
1388.0,0.651,0.617,7.579,-0.617,-3.373,-3.364,1.01,3.364,0.0,0.0,0.0,0.0
1437.0,0.657,0.621,7.659,-0.621,-3.369,-3.365,1.01,3.365,0.0,0.0,0.0,0.0
1487.0,0.661,0.625,7.733,-0.625,-3.375,-3.366,1.011,3.366,0.0,0.0,0.0,0.0
1537.0,0.667,0.629,7.811,-0.629,-3.371,-3.366,1.011,3.366,0.0,0.0,0.0,0.0
1587.0,0.67,0.633,7.884,-0.633,-3.377,-3.367,1.011,3.367,0.0,0.0,0.0,0.0
1637.0,0.676,0.638,7.96,-0.638,-3.373,-3.368,1.011,3.368,0.0,0.0,0.0,0.0
1686.0,0.68,0.642,8.033,-0.642,-3.379,-3.369,1.012,3.369,0.0,0.0,0.0,0.0
1733.0,0.686,0.646,8.11,-0.646,-3.375,-3.37,1.012,3.37,0.0,0.0,0.0,0.0
1782.0,0.686,0.65,8.171,-0.65,-3.375,-3.37,1.012,3.37,0.0,0.0,0.0,0.0
1831.0,0.692,0.654,8.235,-0.654,-3.371,-3.37,1.012,3.37,0.0,0.0,0.0,0.0
1880.0,0.692,0.658,8.288,-0.658,-3.371,-3.37,1.012,3.37,0.0,0.0,0.0,0.0
1930.0,0.692,0.661,8.33,-0.661,-3.371,-3.37,1.012,3.37,0.0,0.0,0.0,0.0
1980.0,0.69,0.664,8.361,-0.664,-3.38,-3.371,1.012,3.371,0.0,0.0,0.0,0.0
2033.0,0.696,0.667,8.396,-0.667,-3.376,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2082.0,0.696,0.67,8.428,-0.67,-3.376,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2131.0,0.702,0.673,8.466,-0.673,-3.372,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2181.0,0.702,0.676,8.496,-0.676,-3.372,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2231.0,0.708,0.679,8.534,-0.679,-3.368,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2281.0,0.711,0.683,8.574,-0.683,-3.374,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2331.0,0.717,0.686,8.62,-0.686,-3.37,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2380.0,0.721,0.69,8.668,-0.69,-3.376,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
2430.0,0.721,0.693,8.706,-0.693,-3.376,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2480.0,0.721,0.696,8.736,-0.696,-3.376,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2530.0,0.721,0.698,8.76,-0.698,-3.376,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2580.0,0.717,0.7,8.769,-0.7,-3.37,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2629.0,0.721,0.702,8.784,-0.702,-3.376,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2679.0,0.721,0.704,8.795,-0.704,-3.376,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2729.0,0.721,0.706,8.803,-0.706,-3.376,-3.374,1.012,3.374,0.0,0.0,0.0,0.0
2778.0,0.727,0.708,8.821,-0.708,-3.372,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2828.0,0.727,0.71,8.836,-0.71,-3.372,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2878.0,0.727,0.711,8.847,-0.711,-3.372,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2928.0,0.727,0.713,8.854,-0.713,-3.372,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
2978.0,0.727,0.714,8.859,-0.714,-3.372,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
3027.0,0.737,0.717,8.886,-0.717,-3.374,-3.373,1.012,3.373,0.0,0.0,0.0,0.0
3074.0,0.732,0.718,8.898,-0.718,-3.368,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
3122.0,0.732,0.72,8.907,-0.72,-3.368,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
3172.0,0.738,0.721,8.926,-0.721,-3.364,-3.371,1.011,3.371,0.0,0.0,0.0,0.0
3221.0,0.732,0.723,8.927,-0.723,-3.368,-3.371,1.011,3.371,0.0,0.0,0.0,0.0
3271.0,0.731,0.723,8.922,-0.723,-3.378,-3.372,1.011,3.372,0.0,0.0,0.0,0.0
3321.0,0.727,0.724,8.908,-0.724,-3.372,-3.372,1.011,3.372,0.0,0.0,0.0,0.0
3370.0,0.731,0.724,8.904,-0.724,-3.377,-3.372,1.012,3.372,0.0,0.0,0.0,0.0
