time_ms,roll_raw,roll_filt,roll_cmd_dps,roll_err,pitch_raw,pitch_filt,pitch_cmd_dps,pitch_err,roll_mot_angle,roll_mot_speed,pitch_mot_angle,pitch_mot_speed
793.0,91.184,91.184,10.0,-2.5,7.561,7.561,-0.75,-2.5,0.0,0.0,0.0,0.0
836.0,91.254,91.191,10.0,-3.367,7.561,7.561,-1.008,-3.36,0.0,0.0,0.0,0.0
877.0,91.252,91.197,10.0,-4.193,7.597,7.564,-1.256,-4.184,0.0,0.0,-155.0,0.0
916.0,91.241,91.202,10.0,-4.977,7.639,7.572,-1.494,-4.971,-346.0,0.0,-155.0,0.0
955.0,91.218,91.203,10.0,-5.759,7.666,7.581,-1.732,-5.761,-346.0,0.0,-155.0,0.0
994.0,91.2,91.203,10.0,-6.539,7.72,7.595,-1.973,-6.554,-346.0,0.0,-155.0,0.0
1035.0,91.172,91.2,10.0,-7.356,7.789,7.614,-2.228,-7.394,-346.0,0.0,-155.0,0.0
1075.0,91.143,91.194,10.0,-8.15,7.868,7.64,-2.306,-7.64,-346.0,0.0,-155.0,0.0
1117.0,91.113,91.186,10.0,-8.982,7.962,7.672,-2.32,-7.672,-346.0,10.0,-155.0,0.0
1156.0,91.057,91.173,10.0,-9.749,8.089,7.714,-2.339,-7.714,-345.0,0.0,-155.0,0.0
1195.0,91.024,91.158,10.0,-10.514,8.199,7.762,-2.361,-7.762,-345.0,0.0,-155.0,0.0
1234.0,90.983,91.141,10.0,-11.276,8.303,7.816,-2.385,-7.816,-345.0,10.0,-155.0,0.0
1275.0,90.922,91.119,10.0,-12.075,8.48,7.883,-2.414,-7.883,-345.0,5.0,-155.0,0.0
1315.0,90.841,91.091,10.0,-12.847,8.735,7.968,-2.452,-7.968,-345.0,16.0,-155.0,0.0
1356.0,90.734,91.055,10.0,-13.631,9.097,8.081,-2.502,-8.081,-344.0,5.0,-155.0,0.0
1395.0,90.595,91.009,10.0,-14.365,9.558,8.228,-2.568,-8.228,-344.0,16.0,-155.0,0.0
1435.0,90.474,90.956,10.0,-15.112,9.96,8.402,-2.645,-8.402,-343.0,10.0,-155.0,0.0
1476.0,90.377,90.898,10.0,-15.874,10.271,8.589,-2.725,-8.589,-343.0,5.0,-155.0,0.0
1515.0,90.262,90.834,10.0,-16.59,10.684,8.798,-2.816,-8.798,-343.0,5.0,-155.0,0.0
1554.0,90.058,90.757,10.0,-17.293,11.376,9.056,-2.929,-9.056,-342.0,16.0,-155.0,0.0
1596.0,89.844,90.665,10.0,-18.041,12.114,9.362,-3.057,-9.362,-341.0,21.0,-155.0,0.0
1636.0,89.666,90.565,10.0,-18.741,12.504,9.676,-3.19,-9.676,-341.0,16.0,-155.0,0.0
1676.0,89.542,90.463,10.0,-19.439,12.719,9.98,-3.313,-9.98,-340.0,0.0,-155.0,0.0
1713.0,89.417,90.358,10.0,-20.074,12.968,10.279,-3.435,-10.279,-340.0,5.0,-155.0,0.0
1755.0,89.203,90.243,10.0,-20.799,13.445,10.596,-3.556,-10.596,-340.0,21.0,-155.0,0.0
1795.0,89.003,90.119,10.0,-21.475,13.998,10.936,-3.688,-10.936,-338.0,10.0,-155.0,0.0
1835.0,88.815,89.989,10.0,-22.144,14.569,11.299,-3.829,-11.299,-338.0,10.0,-155.0,0.0
1875.0,88.58,89.848,10.0,-22.803,15.348,11.704,-3.987,-11.704,-337.0,21.0,-155.0,0.0
1915.0,88.345,89.697,10.0,-23.453,16.148,12.149,-4.162,-12.149,-336.0,16.0,-155.0,0.0
1954.0,88.216,89.549,10.0,-24.085,16.54,12.588,-4.332,-12.588,-336.0,16.0,-155.0,0.0
1996.0,88.138,89.408,10.0,-24.784,16.762,13.005,-4.481,-13.005,-336.0,5.0,-155.0,0.0
2040.0,88.05,89.272,10.0,-25.528,17.025,13.407,-4.617,-13.407,-335.0,5.0,-155.0,0.0
2076.0,87.932,89.138,10.0,-26.114,17.407,13.807,-4.766,-13.807,-335.0,5.0,-155.0,0.0
2115.0,87.87,89.011,10.0,-26.767,17.592,14.186,-4.895,-14.186,-335.0,10.0,-155.0,0.0
2155.0,87.807,88.891,10.0,-27.447,17.788,14.546,-5.011,-14.546,-335.0,5.0,-155.0,0.0
2195.0,87.73,88.775,10.0,-28.131,18.005,14.892,-5.12,-14.892,-334.0,10.0,-155.0,0.0
2236.0,87.636,88.661,10.0,-28.837,18.309,15.234,-5.224,-15.234,-334.0,10.0,-155.0,0.0
2275.0,87.508,88.546,10.0,-29.502,18.732,15.583,-5.335,-15.583,-333.0,5.0,-155.0,0.0
2315.0,87.35,88.426,10.0,-30.182,19.222,15.947,-5.451,-15.947,-333.0,5.0,-155.0,0.0
2354.0,87.27,88.311,10.0,-30.846,19.506,16.303,-5.564,-16.303,-333.0,5.0,-155.0,0.0
2394.0,87.244,88.204,10.0,-31.54,19.566,16.629,-5.66,-16.629,-333.0,0.0,-155.0,0.0
2434.0,87.219,88.105,10.0,-32.241,19.637,16.93,-5.743,-16.93,-332.0,0.0,-155.0,0.0
2474.0,87.169,88.012,10.0,-32.948,19.775,17.215,-5.819,-17.215,-332.0,0.0,-155.0,0.0
2515.0,87.113,87.922,10.0,-33.678,19.954,17.489,-5.889,-17.489,-332.0,0.0,-155.0,0.0
2555.0,87.052,87.835,10.0,-34.391,20.17,17.757,-5.959,-17.757,-332.0,16.0,-155.0,0.0
2594.0,86.962,87.748,10.0,-35.083,20.459,18.027,-6.032,-18.027,-331.0,21.0,-155.0,0.0
2634.0,86.819,87.655,10.0,-35.79,20.876,18.312,-6.112,-18.312,-330.0,21.0,-155.0,0.0
2674.0,86.652,87.554,10.0,-36.49,21.407,18.621,-6.205,-18.621,-330.0,10.0,-155.0,0.0
2714.0,86.505,87.449,10.0,-37.185,21.851,18.944,-6.305,-18.944,-330.0,5.0,-155.0,0.0
2754.0,86.409,87.345,10.0,-37.881,22.15,19.265,-6.403,-19.265,-329.0,0.0,-155.0,0.0
2794.0,86.303,87.241,10.0,-38.577,22.474,19.586,-6.501,-19.586,-329.0,16.0,-155.0,0.0
2835.0,86.134,87.13,10.0,-39.286,22.992,19.926,-6.607,-19.926,0.0,0.0,-155.0,0.0
2875.0,85.898,87.007,10.0,-39.963,23.727,20.306,-6.734,-20.306,-327.0,21.0,-155.0,0.0
2915.0,85.711,86.878,10.0,-40.633,24.298,20.706,-6.87,-20.706,-327.0,27.0,-155.0,0.0
2954.0,85.544,86.744,10.0,-41.28,24.754,21.11,-7.008,-21.11,-326.0,32.0,-155.0,0.0
2994.0,85.278,86.598,10.0,-41.933,25.543,21.554,-7.162,-21.554,-325.0,10.0,-155.0,0.0
